,consulta usuario,respuesta positiva,respuesta negativa 1,respuesta negativa 2,respuesta negativa 3
0,¿Cual es la duración promedio de las películas con un rating superior a 3 estrellas?,"Transforma consultas en lenguaje natural a código SQL, ejecuta consultas en la base de datos y proporciona informes detallados de los resultados en lenguaje natural.","Analiza datos de sistemas HVAC para detectar anomalías usando modelos de machine learning, preprocesa datos, realiza predicciones y entrega un informe detallado con observaciones relevantes y predicciones sobre el estado del sistema.","Procesa documentos para extracción de texto mediante OCR y detecta objetos escritos a mano como firmas, iniciales, redacciones o fechas usando un modelo YOLO ajustado, y ofrece una traducción y resumen del contenido destacando información clave e indicando la ubicación del contenido manuscrito.","Interactúa en conversaciones generales, respondiendo a preguntas y proporcionando información o asistencia sobre temas variados que no requieren acceso a bases de datos específicas, análisis de anomalías o procesamiento de documentos."
1,¿cuales son los alimentos que tengan más de 30 gramos de proteína que no superen las 200 kcal cada 100 gramos?,"Transforma consultas en lenguaje natural a código SQL, ejecuta consultas en la base de datos y proporciona informes detallados de los resultados en lenguaje natural.","Analiza datos de sistemas HVAC para detectar anomalías usando modelos de machine learning, preprocesa datos, realiza predicciones y entrega un informe detallado con observaciones relevantes y predicciones sobre el estado del sistema.","Procesa documentos para extracción de texto mediante OCR y detecta objetos escritos a mano como firmas, iniciales, redacciones o fechas usando un modelo YOLO ajustado, y ofrece una traducción y resumen del contenido destacando información clave e indicando la ubicación del contenido manuscrito.","Interactúa en conversaciones generales, respondiendo a preguntas y proporcionando información o asistencia sobre temas variados que no requieren acceso a bases de datos específicas, análisis de anomalías o procesamiento de documentos."
2,¿cuantos aviones viajaron a francia desde madrid entre 2010 y 2011?,"Transforma consultas en lenguaje natural a código SQL, ejecuta consultas en la base de datos y proporciona informes detallados de los resultados en lenguaje natural.","Analiza datos de sistemas HVAC para detectar anomalías usando modelos de machine learning, preprocesa datos, realiza predicciones y entrega un informe detallado con observaciones relevantes y predicciones sobre el estado del sistema.","Procesa documentos para extracción de texto mediante OCR y detecta objetos escritos a mano como firmas, iniciales, redacciones o fechas usando un modelo YOLO ajustado, y ofrece una traducción y resumen del contenido destacando información clave e indicando la ubicación del contenido manuscrito.","Interactúa en conversaciones generales, respondiendo a preguntas y proporcionando información o asistencia sobre temas variados que no requieren acceso a bases de datos específicas, análisis de anomalías o procesamiento de documentos."
3,Dime cómo esta organizada la base de datos,"Transforma consultas en lenguaje natural a código SQL, ejecuta consultas en la base de datos y proporciona informes detallados de los resultados en lenguaje natural.","Analiza datos de sistemas HVAC para detectar anomalías usando modelos de machine learning, preprocesa datos, realiza predicciones y entrega un informe detallado con observaciones relevantes y predicciones sobre el estado del sistema.","Procesa documentos para extracción de texto mediante OCR y detecta objetos escritos a mano como firmas, iniciales, redacciones o fechas usando un modelo YOLO ajustado, y ofrece una traducción y resumen del contenido destacando información clave e indicando la ubicación del contenido manuscrito.","Interactúa en conversaciones generales, respondiendo a preguntas y proporcionando información o asistencia sobre temas variados que no requieren acceso a bases de datos específicas, análisis de anomalías o procesamiento de documentos."
4,De la base de datos 'rna central' ¿cuales son las 3 tablas más relevantes?,"Transforma consultas en lenguaje natural a código SQL, ejecuta consultas en la base de datos y proporciona informes detallados de los resultados en lenguaje natural.","Analiza datos de sistemas HVAC para detectar anomalías usando modelos de machine learning, preprocesa datos, realiza predicciones y entrega un informe detallado con observaciones relevantes y predicciones sobre el estado del sistema.","Procesa documentos para extracción de texto mediante OCR y detecta objetos escritos a mano como firmas, iniciales, redacciones o fechas usando un modelo YOLO ajustado, y ofrece una traducción y resumen del contenido destacando información clave e indicando la ubicación del contenido manuscrito.","Interactúa en conversaciones generales, respondiendo a preguntas y proporcionando información o asistencia sobre temas variados que no requieren acceso a bases de datos específicas, análisis de anomalías o procesamiento de documentos."
5,"¿Qué precio tienen las peliculas en las que ha trabajado el actor o actores con más películas, devuelve el nombre de las películas y el actor o actores que hayan trabajado en ellas?","Transforma consultas en lenguaje natural a código SQL, ejecuta consultas en la base de datos y proporciona informes detallados de los resultados en lenguaje natural.","Analiza datos de sistemas HVAC para detectar anomalías usando modelos de machine learning, preprocesa datos, realiza predicciones y entrega un informe detallado con observaciones relevantes y predicciones sobre el estado del sistema.","Procesa documentos para extracción de texto mediante OCR y detecta objetos escritos a mano como firmas, iniciales, redacciones o fechas usando un modelo YOLO ajustado, y ofrece una traducción y resumen del contenido destacando información clave e indicando la ubicación del contenido manuscrito.","Interactúa en conversaciones generales, respondiendo a preguntas y proporcionando información o asistencia sobre temas variados que no requieren acceso a bases de datos específicas, análisis de anomalías o procesamiento de documentos."
6,Muestra el total de horas de vuelo acumuladas por las aerolíneas que operan entre Barcelona y Berlín durante el último trimestre.,"Transforma consultas en lenguaje natural a código SQL, ejecuta consultas en la base de datos y proporciona informes detallados de los resultados en lenguaje natural.","Analiza datos de sistemas HVAC para detectar anomalías usando modelos de machine learning, preprocesa datos, realiza predicciones y entrega un informe detallado con observaciones relevantes y predicciones sobre el estado del sistema.","Procesa documentos para extracción de texto mediante OCR y detecta objetos escritos a mano como firmas, iniciales, redacciones o fechas usando un modelo YOLO ajustado, y ofrece una traducción y resumen del contenido destacando información clave e indicando la ubicación del contenido manuscrito.","Interactúa en conversaciones generales, respondiendo a preguntas y proporcionando información o asistencia sobre temas variados que no requieren acceso a bases de datos específicas, análisis de anomalías o procesamiento de documentos."
7,Identifica las ciudades con un crecimiento poblacional superior al 5% en los últimos cinco años y presenta un informe detallado por año.,"Transforma consultas en lenguaje natural a código SQL, ejecuta consultas en la base de datos y proporciona informes detallados de los resultados en lenguaje natural.","Analiza datos de sistemas HVAC para detectar anomalías usando modelos de machine learning, preprocesa datos, realiza predicciones y entrega un informe detallado con observaciones relevantes y predicciones sobre el estado del sistema.","Procesa documentos para extracción de texto mediante OCR y detecta objetos escritos a mano como firmas, iniciales, redacciones o fechas usando un modelo YOLO ajustado, y ofrece una traducción y resumen del contenido destacando información clave e indicando la ubicación del contenido manuscrito.","Interactúa en conversaciones generales, respondiendo a preguntas y proporcionando información o asistencia sobre temas variados que no requieren acceso a bases de datos específicas, análisis de anomalías o procesamiento de documentos."
8,Calcula el coste promedio de los seguros de coche para conductores menores de 25 años en la región de Andalucía,"Transforma consultas en lenguaje natural a código SQL, ejecuta consultas en la base de datos y proporciona informes detallados de los resultados en lenguaje natural.","Analiza datos de sistemas HVAC para detectar anomalías usando modelos de machine learning, preprocesa datos, realiza predicciones y entrega un informe detallado con observaciones relevantes y predicciones sobre el estado del sistema.","Procesa documentos para extracción de texto mediante OCR y detecta objetos escritos a mano como firmas, iniciales, redacciones o fechas usando un modelo YOLO ajustado, y ofrece una traducción y resumen del contenido destacando información clave e indicando la ubicación del contenido manuscrito.","Interactúa en conversaciones generales, respondiendo a preguntas y proporcionando información o asistencia sobre temas variados que no requieren acceso a bases de datos específicas, análisis de anomalías o procesamiento de documentos."
9,"Listar los tipos de vino con denominación de origen que han ganado premios internacionales en el año 2022, incluyendo el nombre del vino y el premio recibido","Transforma consultas en lenguaje natural a código SQL, ejecuta consultas en la base de datos y proporciona informes detallados de los resultados en lenguaje natural.","Analiza datos de sistemas HVAC para detectar anomalías usando modelos de machine learning, preprocesa datos, realiza predicciones y entrega un informe detallado con observaciones relevantes y predicciones sobre el estado del sistema.","Procesa documentos para extracción de texto mediante OCR y detecta objetos escritos a mano como firmas, iniciales, redacciones o fechas usando un modelo YOLO ajustado, y ofrece una traducción y resumen del contenido destacando información clave e indicando la ubicación del contenido manuscrito.","Interactúa en conversaciones generales, respondiendo a preguntas y proporcionando información o asistencia sobre temas variados que no requieren acceso a bases de datos específicas, análisis de anomalías o procesamiento de documentos."
